Pertanyaan,Jawaban
Siapa presiden ketiga Indonesia?,Bacharuddin Jusuf Habibie (B. J. Habibie)
Siapa presiden kedua Indonesia?,Jenderal Besar TNI (Purn.) H. M. Soeharto
Siapa presiden keenam Indonesia?,Soesilo Bambang Yudhoyono
Siapa presiden ketujuh Indonesia?,Joko Widodo
Siapa presiden kelima Indonesia?,Megawati Soekarno Putri
Siapa presiden keempat Indonesia?,Abdurrahman Wahid
Siapa wakil presiden ketujuh Indonesia?,Maruf Amin
Siapa wakil presiden keempat Indonesia?,Megawati Soekarno Putri
Siapa wakil presiden keenam Indonesia?,M. Jusuf Kalla
Siapa wakil presiden kelima Indonesia?,Hamza Haz
Siapa wakil presiden pertama Indonesia?,Drs. Moh. Hatta
Siapa presiden pertama Indonesia?,Ir. Soekarno
Apa ibukota Jawa Tengah?,Semarang
Apa ibukota Nusa Tenggara Barat?,Mataram
Apa ibukota Nusa Tenggara Timur?,Kupang
Apa ibukota Bali?,Denpasar
Apa ibukota Jawa Timur?,Surabaya
Apa ibukota Jawa Barat,Bandung
Apa Ibukota Banten?,Serang
Apa ibukota Sumatera Utara?,Medan
Apa ibukota Sumatera Barat?,Padang
Apa ibukota Lampung?,Bandar Lampung
Apa ibukota Sumatera Selatan?,Palembang
Apa ibukota Aceh?,Banda Aceh
Apa ibukota Gorontalo?,Gorontalo
Apa ibukota Sulawesi Utara?,Manado
Apa ibukota Riau?,Pekanbaru
Apa ibukota Sulawesi Selatan?,Makassar
Apa ibukota Kalimantan Barat?,Pontianak
Apa ibukota Kalimantan Tengah?,Palangkaraya
Apa ibukota Kalimantan Selatan? ,Banjarbaru
Apa ibukota Sulawesi Barat?,Mamuju
Apa ibukota Papua Barat?,Manokwari
Apa ibukota Papua?,Jayapura
Sebutkan sila pertama?,Ketuhanan Yang Maha Esa
Sebutkan sila kedua?,Kemanusiaan yang adil dan beradab
Apa ibukota Sulawesi Tenggara?,Kendari
Apa ibukota Sulawesi Tengah?,Palu
Sebutkan sila ketiga?,Persatuan Indonesia
Sebutkan sila keempat?,Kerakyatan yang dipimpin oleh hikmat kebijaksanaan dalam permusyawaratan perwakilan
Apa ibukota Bengkulu?,Bengkulu
Sebutkan sila kelima?,Keadilan sosial bagi seluruh rakyat Indonesia
Apa ibukota Prancis?,Paris
Apa rumah adat Provinsi Jawa Tengah? ,Joglo
Apa rumah adat Provinsi Aceh?,Krong Bade
Apa ibukota Jepang?,Tokyo
Apa rumah adat Provinsi Sumatera Barat? ,Gadang
Apa ibukota Italy?,Roma
Apa rumah adat Provinsi Bengkulu?,Bubungan lima
Apa rumah adat Provinsi Jambi?,Panggung
Apa rumah adat Provinsi Kalimantan Barat?,Rumah Panjang
Apa ibukota Jerman?,Berlin
Apa ibukota Kamboja?,Phnom Penh
Apa ibukota Laos?,Vientiane
Apa ibukota Myanmar?,Naypyidaw
Kapan Hari Kartini diperingati?,21 April
Apa ibukota Thailand?,Bangkok/ Krung Thep Maha Nakhon
Kapan Hari Pendidikan Nasional diperingati?,2 Mei
Kapan Hari Kebangkitan Nasional diperingati?,20 Mei
Kapan Hari Kemerdekaan RI diperingati?,17 Agustus
Kapan Hari Lahir Pancasila diperingati?,1 Juni
Apa ibukota Filipina?,Manilla
Apa ibukota Indonesia?,Jakarta
Kapan Hari Kesaktian Pancasila diperingati?,1 Oktober
Kapan Hari Sumpah Pemuda diperingati?,28 Oktober
Apa alat musik tradisional Jawa Barat?,Rebab
Apa alat musik tradisional Nusa Tenggara Timur?,Sasando
Dari mana alat musik tifa berasal?,Maluku dan Papua
"Dari mana alat musik gamelan berasal?,""Sumatera, Bali, dan Jawa""",
Dari mana alat musik tatabuang berasal?,Flores Timur
Dari mana alat musik gambus berasal?,Riau
"Dari mana alat musik kolintang berasal?,""Minahasa, Sulawesi Utara""",
Julukan Banda Aceh adalah?,Serambi Mekkah
Julukan Bogor adalah?,Kota Hujan
Julukan Surabaya adalah?,Kota Pahlawan
Apa ibukota Timor Leste?,Dili
Julukan Palembang adalah?,Kota Pempek
Apa ibukota China?,Beijing
Apa ibukota Brunei Darussalam?,Bandar Seri Begawan
Apa ibukota Korea Selatan?,Seoul
Julukan Pekalongan adalah?,Julukan Pekalongan adalah?
Apa ibukota Korea Utara?,Pyongyang
Julukan Gorontalo adalah?,Serambi Madinah 
Apa ibukota Mongolia?,Ulan Bator
 Siapa raja pertama Kerajaan Kutai?,Kudungga
Apa ibukota India?,New Delhi
Disebut apakah Candi Prambanan?,Candi Roro Jonggrang
Sumpah yang diucapkan Patih Gajah Mada disebut? ,Sumpah Palapa
Dimana lokasi kerajaan Samudera Pasai?,Aceh
Apa ibukota Bahrain?,Manama
Apa nama kerajaan yang didirikan Ken Arok?,Kerajaan Singasari
Apa ibukota Qatar?,Doha
Dimana Kerajaan Tarumanegara terletak?,Jawa Barat
Apa ibukota Palestina?,Yerusalem
Kapan agresi pertama Belanda dilakukan?,21 Juli
Apa ibukota Israel?,Tel Aviv
Dimana Yesus lahir?,Betlehem
Apa ibukota Kazakhstan?,Astana
Sungai terpanjang di dunia adalah? ,Nil
Apa ibukota Irak?,Baghdad
Penemu telepon adalah?,Alexander Graham Bell
Apa ibukota Kanada?,Ottawa
Penemu lampu adalah?,Thomas Alpha Edison
Apa ibukota Haiti?,Port Au Prince
Siapa presiden Turki tahun 2022 ini? ,Erdogan
Apa ibukota Repubik Dominika?,Santo Dominggo
Dimana markas kantor PBB?,New York Amerika Serikat
Siapa penemu Benua Amerika,Christopher Columbus
Apa ibukota Puerto Rico?,San Juan
Apa ibukota Jamaika?,Kingston
Siapa pemegang kekuasaan eksekutif?,Presiden dan Wakil Presiden
Apa ibukota El Savador?,San Salvado
"Siapa pemegang kekuasaan yudikatif?,""Kedaulatan Yudikatif diisi oleh MA, KY, juga MK""",
Apa ibukota Honduras?,Tegucigalpa
Apa singkatan dari MPR?,Majelis Permusyawaratan Rakyat
Apa ibukota Nicaragua?,Managua
Apa ibukota Equador?,Quito
Apa ibukota Costa RIca?,San Jose
Apa ibukota Suriname?,Paramaribo
Apa ibukota Trinidad and Tobago?,Port of Span
Apa ibukota Colombia?,Bogota
Apa ibukota Venezuela?,Caracas
Apa ibukota Peru?,Lima
Apa ibukota Bolivia?,Lapaz
Apa ibukota Chili?,Santiago
Apa ibukota Paraguay?,Asuncion
Apa ibukota Uruguay?,Montevideo
Apa ibukota Argentina? ,Buenos Aires
